,0
0,1
1,1
2,1
3,0
4,0
5,0
6,1
7,1
8,0
9,0
10,0
11,1
12,0
13,1
14,1
15,1
16,0
17,0
18,1
19,1
20,1
21,1
22,1
23,0
24,0
25,0
26,1
27,1
28,1
29,0
30,1
31,1
32,1
33,1
34,1
35,0
36,0
37,0
38,0
39,0
40,0
41,1
42,0
43,0
44,1
45,0
46,0
47,0
48,0
49,0
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,0
59,0
60,0
61,0
62,1
63,0
64,0
65,1
66,1
67,1
68,0
69,0
70,0
71,1
72,1
73,1
74,0
75,0
76,1
77,0
78,1
79,1
80,0
81,0
82,1
83,1
84,0
85,0
86,1
87,0
88,1
89,1
90,0
91,0
92,1
93,0
94,0
95,0
96,1
97,0
98,0
99,1
100,1
101,0
102,1
103,1
104,1
105,1
106,1
107,1
108,0
109,1
110,1
111,1
112,0
113,0
114,0
115,0
116,0
117,1
118,0
119,1
120,0
121,1
122,1
123,0
124,0
125,1
126,0
127,1
128,0
129,1
130,1
131,1
132,0
133,0
134,1
135,1
136,1
137,1
138,1
139,1
140,0
141,0
142,0
143,0
144,0
145,0
146,1
147,0
148,1
149,1
150,1
151,0
152,1
153,0
154,0
155,1
156,0
157,1
158,1
159,0
160,1
161,1
162,1
163,1
164,1
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,1
175,0
176,1
177,1
178,1
179,0
180,1
181,1
182,0
183,0
184,1
185,1
186,1
187,1
188,0
189,0
190,0
191,1
192,1
193,1
194,1
195,1
196,0
197,0
198,0
199,0
200,0
201,1
202,0
203,1
204,0
205,1
206,1
207,0
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,0
219,1
220,1
221,1
222,1
223,0
224,1
225,0
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,0
234,0
235,0
236,0
237,1
238,0
239,1
240,0
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,0
253,0
254,0
255,0
256,0
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,0
266,0
267,1
268,0
269,0
270,1
271,0
272,1
273,0
274,1
275,0
276,0
277,1
278,1
279,0
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,0
288,1
289,1
290,1
291,1
292,1
293,1
294,0
295,1
296,0
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,0
305,1
306,1
307,0
308,0
309,1
310,1
311,1
312,0
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,0
321,0
322,1
323,1
324,0
325,1
326,1
327,1
328,0
329,0
330,1
331,1
332,1
333,0
334,1
335,0
336,1
337,1
338,1
339,1
340,1
341,0
342,0
343,1
344,0
345,0
346,1
347,1
348,0
349,0
350,0
351,1
352,1
353,1
354,1
355,1
356,0
357,0
358,0
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,0
370,0
371,1
372,1
373,0
374,0
375,0
376,0
377,0
378,0
379,1
380,0
381,1
382,1
383,1
384,1
385,0
386,0
387,0
388,0
389,1
390,0
391,1
392,1
393,1
394,0
395,1
396,1
397,1
398,0
399,1
400,0
401,1
402,1
403,0
404,0
405,1
406,0
407,1
408,1
409,1
410,0
411,0
412,0
413,0
414,0
415,1
416,1
417,1
418,1
419,1
420,0
421,0
422,1
423,0
424,1
425,0
426,1
427,0
428,1
429,0
430,0
431,1
432,0
433,0
434,1
435,0
436,0
437,1
438,0
439,0
440,1
441,1
442,1
443,1
444,1
445,0
446,1
447,1
448,1
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,1
457,1
458,1
459,1
460,0
461,0
462,1
463,0
464,0
465,1
466,0
467,0
468,1
469,0
470,0
471,1
472,0
473,0
474,1
475,1
476,1
477,1
478,1
479,1
480,0
481,0
482,0
483,0
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,0
493,0
494,1
495,1
496,1
497,1
498,1
499,0
500,1
501,1
502,0
503,0
504,1
505,1
506,1
507,1
508,0
509,0
510,1
511,1
512,1
513,0
514,0
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,0
529,0
530,0
531,0
532,0
533,1
534,1
535,1
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,1
544,0
545,1
546,0
547,1
548,1
549,1
550,0
551,1
552,1
553,1
554,0
555,0
556,1
557,0
558,1
559,1
560,1
561,0
562,1
563,0
564,1
565,1
566,1
567,1
568,1
569,0
570,1
571,0
572,1
573,0
574,0
575,0
576,1
577,1
578,1
579,1
580,1
581,0
582,0
583,0
584,1
585,1
586,1
587,1
588,0
589,1
590,1
591,0
592,1
593,1
594,0
595,1
596,0
597,1
598,1
599,0
600,0
601,0
602,0
603,1
604,0
605,0
606,1
607,0
608,0
609,0
610,1
611,1
612,1
613,1
614,1
615,1
616,0
617,0
618,1
619,1
620,1
621,0
622,1
623,0
624,1
625,1
626,0
627,1
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,1
636,0
637,1
638,1
639,1
640,0
641,0
642,1
643,1
644,1
645,0
646,1
647,1
648,1
649,1
650,0
651,0
652,1
653,1
654,1
655,1
656,0
657,0
658,1
659,0
660,1
661,0
662,1
663,0
664,0
665,0
666,1
667,1
668,0
669,1
670,1
671,1
672,0
673,1
674,1
675,0
676,1
677,1
678,0
679,0
680,1
681,1
682,1
683,0
684,1
685,0
686,1
687,1
688,0
689,0
690,0
691,0
692,0
693,1
694,0
695,0
696,1
697,1
698,1
699,0
700,0
701,1
702,1
703,1
704,0
705,0
706,0
707,0
708,1
709,0
710,0
711,0
712,1
713,1
714,1
715,0
716,0
717,0
718,1
719,1
720,1
721,0
722,1
723,0
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,0
733,1
734,0
735,0
736,1
737,0
738,1
739,0
740,1
741,0
742,1
743,1
744,1
745,0
746,1
747,1
748,1
749,1
750,1
751,1
752,1
753,0
754,1
755,1
756,0
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,0
768,1
769,1
770,0
771,1
772,1
773,1
774,0
775,1
776,1
777,0
778,0
779,0
780,0
781,1
782,1
783,1
784,1
785,1
786,0
787,0
788,1
789,1
790,1
791,1
792,0
793,0
794,0
795,1
796,0
797,1
798,1
799,1
800,1
801,0
802,0
803,0
804,1
805,0
806,1
807,1
808,1
809,0
810,1
811,1
812,1
