,ntrials,n_iters,sens_sim,bias_sim,sigma_sim,pc_sim,pe_sim,sens_fit,bias_fit,sigma_fit,C_fit,pc_fit,pe_fit
0,500,200,10,-5,0.05,1,-1,8.711933842686374,-4.7254438791934135,0.005207983628741961,0.7835500008344826,1.0251585235175886,-0.7680662316045981
1,10000,200,10,-5,0.05,1,-1,11.161162396203778,-5.71961217070435,0.6066487933372394,0.09751609351865242,1.059316582211276,-1.11833022548402
2,50000,200,10,-5,0.05,1,-1,11.40052836451134,-5.899801049030405,0.2229050351762861,0.20117723536889226,1.1473079625400213,-1.1831166566502804
3,500,200,10,-5,0.05,1,-1,9.447853652092256,-5.187484179382738,0.002818298037474213,-1.4025831237703823,1.1809057625546828,-1.3357825723202013
4,10000,200,10,-5,0.05,1,-1,10.382248401186951,-5.2295070507691905,0.2885646145339621,0.14886986806135388,1.0670049607186682,-1.2342799190253604
5,50000,200,10,-5,0.05,1,-1,10.370618001040707,-5.121979218783355,0.32236534055304705,-0.136590471314617,1.0740441320374712,-0.9968812579980946
6,500,200,10,-5,0.05,1,-1,10.467905106843585,-7.884528073846644,0.0279003502015858,-0.5368857219728592,1.2902222182003587,-1.3208679400706862
7,10000,200,10,-5,0.05,1,-1,9.933987424671432,-4.950443022295374,0.44849952429890305,0.07569179487785029,1.0314210935151793,-1.0365834205540592
8,50000,200,10,-5,0.05,1,-1,11.117800258765314,-5.548853353466117,0.49657424447011145,0.08454599358501862,1.119955983222924,-1.0987822095778161
9,500,200,10,-5,0.05,1,-1,9.580637839063376,-5.169745241859376,0.008791881266898225,-0.05710902940589335,0.832592173451434,-0.47578976079330326
10,10000,200,10,-5,0.05,1,-1,10.934465181646761,-5.5372195040906425,0.3406966615950239,-0.10097727476751903,1.0340550681928773,-1.1165792391619245
11,50000,200,10,-5,0.05,1,-1,11.058086018723017,-5.533818100134193,0.3663718720844272,0.12462983505819404,1.052222484647649,-1.238902568716201
12,500,200,10,-5,0.05,1,-1,9.64884017222792,-4.668606725461648,0.015046377393050588,0.6020544420380574,0.8368955731733153,-0.6273169300552532
13,10000,200,10,-5,0.05,1,-1,11.478833847772957,-5.872719206393618,0.2693161959599435,0.1331555252863091,1.1192507943060686,-1.189281244068955
14,50000,200,10,-5,0.05,1,-1,10.632841657465836,-5.333713699746964,0.3466182214031775,-0.12396688371301921,1.0412746696169004,-1.090388503970636
15,500,200,10,-5,0.05,1,-1,9.811288619355496,-4.044033293711847,0.010859481143138783,-0.6712100753123365,1.0234790952369703,-1.2706606748326703
16,10000,200,10,-5,0.05,1,-1,11.008476142603813,-5.522389102013386,0.5392113742466392,0.09963763608493785,1.0327506595844667,-1.2955129404996777
17,50000,200,10,-5,0.05,1,-1,10.961604385615273,-5.577266998197152,0.4213418818707455,0.10600295408809468,1.0613604226865911,-1.2694236043951959
18,500,200,10,-5,0.05,1,-1,10.110505240131625,-5.302511096346376,0.03565742736955849,0.16194053174833373,1.131867849029993,-1.3772363818731035
19,10000,200,10,-5,0.05,1,-1,11.032394716696858,-5.5017374204318,0.3202674409054582,-0.10023760743857477,1.1298248757419644,-1.1528961236798578
20,50000,200,10,-5,0.05,1,-1,10.654629041209349,-5.329315653315324,0.31562976530160913,0.14396193996633588,1.0594926567140681,-1.1481377152099679
21,500,200,10,-5,0.05,1,-1,9.90188824040641,-5.826438265935272,0.004052243973589706,-0.9561308186822826,1.1564505535900234,-1.1856671044400402
22,10000,200,10,-5,0.05,1,-1,11.065253781090679,-5.430213900120361,0.4043472997148683,-0.12679195576001115,1.086381815866259,-1.3009235789182303
23,50000,200,10,-5,0.05,1,-1,10.823162801515064,-5.414268230051215,0.3916257399913007,-0.12334556673093586,1.0775776286873664,-1.146742353744174
24,500,200,10,-5,0.05,1,-1,10.96447408428192,-5.613762398615914,0.014331087155512503,0.0030986297239509047,1.154998505996596,-1.5222297577820811
25,10000,200,10,-5,0.05,1,-1,11.010140899934022,-5.742868210783191,0.12038878084133905,0.242062716449024,1.0313433612035492,-1.2941435796837428
26,50000,200,10,-5,0.05,1,-1,10.311956412285738,-5.192879422211737,0.2931248306168639,0.13726896066315084,1.0265924607988763,-1.1015907364495796
27,500,200,10,-5,0.05,1,-1,11.51597429946439,-4.95009716396719,0.003182553082112359,-1.2315189628749796,1.1606516829367064,-0.6334433241670635
28,10000,200,10,-5,0.05,1,-1,11.329731890886707,-5.758921596890373,0.39732536957301623,-0.09535625223643983,1.092606774920696,-1.1032354864950924
29,50000,200,10,-5,0.05,1,-1,10.513581050821225,-5.282966645917168,0.3020599632974606,0.1395173542497935,1.0433228218318724,-1.0979554589909948
30,500,200,10,-5,0.05,1,-1,9.812303927224894,-4.145616398699473,0.01494415530896374,-0.4924358468752309,0.8661458406857457,-1.1715737698676922
31,10000,200,10,-5,0.05,1,-1,10.898042652904516,-5.426990652914203,0.4437132720797349,0.1143337405871747,1.0977310261701831,-1.1530989018655184
32,50000,200,10,-5,0.05,1,-1,10.55049170369217,-5.25454707989352,0.3194682905469159,0.1391897172413152,1.056402599156819,-1.104580858090167
33,500,200,10,-5,0.05,1,-1,9.276977582344244,-4.008637369663459,0.016087684330702384,0.7117316121216397,0.6942034804435995,-0.736953667125926
34,10000,200,10,-5,0.05,1,-1,10.621221246319603,-5.3630833625195775,0.3313126020234662,-0.12082294265926993,1.1082634082827634,-0.9827029199323445
35,50000,200,10,-5,0.05,1,-1,10.662555251406621,-5.343295488168051,0.3590099827424776,-0.12835381626438824,1.0497049231327853,-1.0455546073993993
36,500,200,10,-5,0.05,1,-1,11.41513383672115,-2.578852055255633,0.005580458639703493,1.574956569700069,1.061562488114126,-1.2752609281328138
37,10000,200,10,-5,0.05,1,-1,10.679213630618037,-5.374371994679829,0.34480504058924555,-0.12316049132249995,1.0650031155306088,-1.349942016201176
38,50000,200,10,-5,0.05,1,-1,10.807357241093266,-5.423710792895803,0.4103340241426967,0.12048142542765512,1.0906662596813528,-0.9484489500490781
39,500,200,10,-5,0.05,1,-1,10.897026465415394,-5.633708516762875,0.044851911640236435,0.1433580377357176,0.846007691468318,-0.768079072462208
40,10000,200,10,-5,0.05,1,-1,10.972706310601053,-5.557245383695622,0.4656914666675807,0.12158688711553511,0.9746366640672081,-1.2895357453510745
41,50000,200,10,-5,0.05,1,-1,10.566233978666245,-5.3076508873054,0.30097746652181007,0.1332927516906101,1.0257680919211714,-1.0926295787642641
42,500,200,10,-5,0.05,1,-1,10.491068405512,-6.135913384821696,0.023352565293296677,0.5777497389045108,0.633966705966621,-1.3806338743214943
43,10000,200,10,-5,0.05,1,-1,11.194058693030984,-5.611482586685672,0.3592126612102971,0.11185507578553185,1.0521915269842146,-1.1218441586579206
44,50000,200,10,-5,0.05,1,-1,10.808718586157394,-5.417185168658677,0.41136293785564393,-0.11510120397602544,1.0496432706636616,-1.1770851486687588
45,500,200,10,-5,0.05,1,-1,12.037251210166277,-5.5555162927101005,0.008522256594512811,-0.5418676047237359,0.9389980837762776,-0.6222204188492644
46,10000,200,10,-5,0.05,1,-1,10.40175385959675,-5.087973910888067,0.23435427817731982,-0.16386206322659222,0.9925331617903906,-1.1129128403690567
47,50000,200,10,-5,0.05,1,-1,11.02604726107673,-5.592343329957193,0.3208518814122472,0.11774610014916333,1.093939593673471,-1.1741069517577478
48,500,200,10,-5,0.05,1,-1,9.53554545842141,-4.364856479939004,0.023654096989737215,0.2045634649105937,0.8271998281852524,-0.8115511632355218
49,10000,200,10,-5,0.05,1,-1,11.296607608385902,-5.669054828230298,0.49221318004052966,-0.1008423448674629,1.080940127877303,-1.0779622622330896
50,50000,200,10,-5,0.05,1,-1,10.86388015595429,-5.414347029365619,0.3452084480789948,0.1293501007816399,1.082477572983617,-1.1635262223733644
51,500,200,10,-5,0.05,1,-1,9.038419538420673,-3.858171189302632,0.02331160321342357,-0.43105460482459,0.8871861000108296,-0.9909069568235134
52,10000,200,10,-5,0.05,1,-1,11.303055269247436,-5.619775573048734,0.42402835230120706,0.09062909265461219,1.0950662378775058,-1.0960881215212266
53,50000,200,10,-5,0.05,1,-1,10.700707217178778,-5.337580563477563,0.35429249378763267,0.12480717617739787,1.0605919465889329,-1.167606137209922
54,500,200,10,-5,0.05,1,-1,9.937683870573792,-4.933977429681443,0.04755060257616174,0.5388367030755369,0.8729366309527653,-1.5777781832141893
55,10000,200,10,-5,0.05,1,-1,10.61974218758468,-5.401076999051084,0.40572297462584217,-0.10693738491091398,1.0388180721906035,-1.0600909428299217
56,50000,200,10,-5,0.05,1,-1,10.35290240743852,-5.127529681508107,0.3317965893044804,-0.1391417876562061,1.032695482252387,-1.084996622297859
57,500,200,10,-5,0.05,1,-1,9.568388677749091,-4.943573738316262,0.015865889299594246,-0.052193889575543675,0.8017956304978623,-1.3868061780225356
58,10000,200,10,-5,0.05,1,-1,10.615869580823048,-5.445434990985487,0.45590535138953386,0.14063710659936934,1.0939106238291896,-1.0906264236827374
