,ntrials,n_iters,sens_sim,bias_sim,sigma_sim,pc_sim,pe_sim,sens_fit,bias_fit,sigma_fit,C_fit,pc_fit,pe_fit
0,500,200,10,-5,0.05,0,0,11.069420319514386,-5.009578893885012,0.004761572204326571,-3.2869759030479138,-0.2916878489261962,-0.6662075817668258
1,10000,200,10,-5,0.05,0,0,11.16470024666912,-5.709888675126431,0.492353273566585,-0.10494847829000209,-0.017636725156561367,-0.00035505884960168995
2,50000,200,10,-5,0.05,0,0,11.227262758931827,-5.765474672438212,0.22700204092322812,0.17988889279083312,0.02073572528551096,-0.11054884553829347
3,500,200,10,-5,0.05,0,0,9.405616956375212,-5.185720169906284,0.0016411832701607742,-1.7073369294969374,0.15074180323652883,-0.13491319151055015
4,10000,200,10,-5,0.05,0,0,10.687537849427597,-5.324117280108388,0.2677806990316859,0.1660903439752799,-0.03166266258927539,-0.31309783001537717
5,50000,200,10,-5,0.05,0,0,10.53549239111905,-5.240519787993199,0.29594205782929517,0.14945621862928488,-0.006229308632548811,-0.11700663811894661
6,500,200,10,-5,0.05,0,0,10.12356926364932,-7.663658304081667,0.024631668329770047,-0.6392655125159659,0.33021183450538005,-0.3386733704250732
7,10000,200,10,-5,0.05,0,0,11.11220460252436,-5.649374751310602,0.43718705775801614,0.08517271815606187,-0.04935222451870013,-0.042494972669023044
8,50000,200,10,-5,0.05,0,0,11.201464003754808,-5.693635558612657,0.5086549918083492,-0.0923778228283792,0.0008483295120780236,-0.0543801165318005
9,500,200,10,-5,0.05,0,0,10.211190649267925,-5.117795799324053,0.006533707484259929,-0.3762311018830513,-0.001968919905629366,0.3815196184412027
10,10000,200,10,-5,0.05,0,0,11.468064149116977,-5.8365325140536175,0.32151261076449406,-0.11639939573534112,-0.015542130958035541,-0.09103663482905473
11,50000,200,10,-5,0.05,0,0,10.973690503296652,-5.434394032763088,0.36755380616045036,0.11739935049590372,-0.008144206018720632,-0.09981058756857185
12,500,200,10,-5,0.05,0,0,9.894272187056611,-5.338042761615942,0.011539596227901096,0.858768475074539,-0.05104210128542667,0.6277839893936367
13,10000,200,10,-5,0.05,0,0,11.3420837315088,-6.028927252517038,0.26700928994518963,-0.12035718037644233,-0.020427654865992937,-0.2384744693388338
14,50000,200,10,-5,0.05,0,0,10.784751059081795,-5.391235062494192,0.3436914843277312,-0.11600478723547328,-0.003770919723994815,0.04953606939553906
15,500,200,10,-5,0.05,0,0,10.882573586783,-4.432795525953407,0.011784565744077095,-1.046379027255559,0.011959529070860673,0.22517806667617646
16,10000,200,10,-5,0.05,0,0,10.13752452881727,-5.016783909988058,0.510771485045216,0.08140253377537426,-0.03160175754346786,-0.005949926775785173
17,50000,200,10,-5,0.05,0,0,11.164737134137605,-5.609112663785496,0.39435784850032835,-0.11232483960714171,-0.013094910775296216,-0.06094748347649087
18,500,200,10,-5,0.05,0,0,10.292963042510848,-5.244529578180703,0.045650910412877894,0.2023049682081309,0.12623481035937317,0.09532129173515058
19,10000,200,10,-5,0.05,0,0,10.828788296403879,-5.430347031642132,0.3378587522108613,-0.09589788190327873,0.01693879880740429,-0.0688454301935594
20,50000,200,10,-5,0.05,0,0,10.64763421383907,-5.363515447965771,0.3672189409871101,-0.1214169096624666,-0.00146025643894426,0.016413192723659785
21,500,200,10,-5,0.05,0,0,9.537209078103496,-5.543368019644493,0.0031027758792290324,-0.913331212694501,0.19960471280199735,-0.05636077045082858
22,10000,200,10,-5,0.05,0,0,10.748543087816516,-5.343817637616689,0.41316711034117315,-0.10183448947707942,0.0046123498964641555,0.03729622150414979
23,50000,200,10,-5,0.05,0,0,10.662476913175643,-5.343409562137193,0.39036739437029594,-0.1252297327650042,-0.008695115969552676,-0.018672613226674375
24,500,200,10,-5,0.05,0,0,10.410084419361743,-5.262562921708628,0.013673141040341528,0.4194108333903802,0.09668885748915625,-0.39813068757089365
25,10000,200,10,-5,0.05,0,0,10.976509722350965,-5.651784349792012,0.11520456998101189,-0.28439384716929195,-0.049677493111739884,-0.15424297170290843
