,ntrials,n_iters,sens_sim,bias_sim,sigma_sim,AR_sim,prevresp_sim,prevconf_sim,prevrespconf_sim,prevsignevi_sim,prevabsevi_sim,prevsignabsevi_sim,sens_fit,bias_fit,sigma_fit,AR_fit,prevresp_fit,prevconf_fit,prevrespconf_fit,prevsignevi_fit,prevabsevi_fit,prevsignabsevi_fit
0,10000,1000,10,0,0.5,0.95,0,0,0,0,0,0,14.224128526900103,0,1.2049560088408648,0.9137218436942944,-0.5517187497973938,-0.0651825385758564,0.6926725595908146,0.13685080039072042,0.0717598527641616,-0.04048575240828885
1,50000,1000,10,0,0.5,0.95,0,0,0,0,0,0,9.641281972644391,0,0.1962128970370732,0.9503979661042428,0.011988546430799864,0.038625441133303295,0.2967770769873469,-0.11756654531396427,-0.016643521242656584,-0.050361391256862065
2,10000,1000,10,0,0.5,0.95,0,0,0,0,0,0,10.518961279481818,0,0.20323776286839987,0.9544756470671245,0.14026012774882382,-0.007428788650189434,0.38231211251558916,-0.28234748161984924,0.15186966725494241,-0.05132666454063356
3,50000,1000,10,0,0.5,0.95,0,0,0,0,0,0,7.927736920335919,0,0.2793060539391884,0.21290550845177267,0.47036244077585565,0.035781738360488397,0.3857400327008109,-0.45588744302192563,-0.03136350890155574,-0.1650528260489236
4,10000,1000,10,0,0.5,0.95,0,0,0,0,0,0,9.673930526245194,0,0.20657751434371632,0.9398211612206364,-0.2842741938140897,-0.13064787433815145,0.3159714954386868,0.08839062829767112,-0.08431932024922455,-0.055100359498995825
5,50000,1000,10,0,0.5,0.95,0,0,0,0,0,0,17.05049891392106,0,2.7739975787647873,0.8643415954997996,-0.6593787979938129,-0.144853287143481,0.8221565134618085,0.36838015054045087,0.08782404245009322,-0.12369811160108403
6,10000,1000,10,0,0.5,0.95,0,0,0,0,0,0,7.369535453438261,0,0.00016708496790152053,0.6385605650050562,0.48628030268635425,-0.017984701868481934,0.43457947395225394,-0.37572186015587494,0.1152538741365915,-0.314399139059639
7,50000,1000,10,0,0.5,0.95,0,0,0,0,0,0,7.939245905589364,0,0.3597272789627604,0.37046847636088615,0.4261931396764483,-0.049381796768266886,0.47431737715793554,-0.44234218614848225,0.034132505852202955,-0.16860328143837144
8,10000,1000,10,0,0.5,0.95,0,0,0,0,0,0,7.682485158780683,0,0.000567463023426872,0.6680246643444261,0.3609647186016955,-0.07048310368636022,0.4702370382121084,-0.36830313581225776,0.07356525543288765,-0.13127936873224008
9,50000,1000,10,0,0.5,0.95,0,0,0,0,0,0,7.645914126294484,0,0.016693688925029797,-0.10478040774376304,0.4806187938636784,0.023501289174445796,0.4816404985364682,-0.5393771330664047,-0.009375498329960395,-0.15269410138895795
10,10000,1000,10,0,0.5,0.95,0,0,0,0,0,0,9.707433316176576,0,0.15172650324595535,0.9601935506203454,-0.021132976381347254,0.06105202246142631,0.3030660176993188,-0.31419173348451884,0.014700161895788499,0.12181321013485452
11,50000,1000,10,0,0.5,0.95,0,0,0,0,0,0,7.746735795250453,0,0.09876008522772349,0.5044134781730729,0.47333399927265823,0.024941323794919375,0.4275326435966133,-0.45491656688774273,0.009621719933809203,-0.1820911335938869
12,10000,1000,10,0,0.5,0.95,0,0,0,0,0,0,7.73952174946639,0,0.0012714099869036118,0.4726287899842184,0.44206741712738695,0.10060069641888945,0.4589855728576268,-0.33644021554782066,-0.018255765029510516,-0.18181931764783602
13,50000,1000,10,0,0.5,0.95,0,0,0,0,0,0,8.06931072078408,0,0.3426603974408125,0.2590833084829657,0.3634850576899898,0.022966900927055785,0.4538796260203298,-0.36273863653142685,-0.021989972566418957,-0.17221736478489655
14,10000,1000,10,0,0.5,0.95,0,0,0,0,0,0,9.176206952210158,0,0.10565148768481242,0.9581639966508548,0.13493307844678612,0.23572863513495618,0.6155525263446185,-0.17631545200710852,0.009813376874453269,-0.22182370760029343
