,ntrials,n_iters,sens_sim,bias_sim,sigma_sim,prevresp_sim,prevconf_sim,prevrespconf_sim,prevsignevi_sim,prevabsevi_sim,prevsignabsevi_sim,sens_fit,bias_fit,sigma_fit,C_fit,prevresp_fit,prevconf_fit,prevrespconf_fit,prevsignevi_fit,prevabsevi_fit,prevsignabsevi_fit
0,500,200,10,0,0.05,0,0,0,0,0,0,12.772306485123417,-2.7224429444644787,0.0016525740966702473,-4.741401120463869,-0.5806527144217954,1.337170621052995,-1.2840639846664805,-0.13558241909191893,-0.33634153980199677,1.0059625108575558
1,10000,200,10,0,0.05,0,0,0,0,0,0,11.327688633566053,-1.8875477989060754,0.7650398295624901,0.06826019092373609,-0.18789187261768497,-0.12090993623761973,0.011558741223867795,0.11162675980920805,0.10051505977047022,0.023635694688928264
2,50000,200,10,0,0.05,0,0,0,0,0,0,10.503928796728257,0.029212162149602018,0.5515290262614493,-0.0993116420321766,-0.09502502278020775,-0.012874107330556439,0.03633851851486561,-0.05478043700917693,-0.007284120061538869,0.05716059778019229
3,500,200,10,0,0.05,0,0,0,0,0,0,9.575394011083668,-0.9244442086783534,0.009954500150584562,-0.13372091052720067,-0.5120357876193168,0.15443778659134938,1.1195589480538959,-0.43821648123449736,0.5022455266283953,0.19756778656276192
4,10000,200,10,0,0.05,0,0,0,0,0,0,10.970073870730635,-2.5373449165634914,0.5325153978954233,0.10090425898980297,-0.06311862696983682,0.04982980144042161,0.11624156532515637,-0.07943439452621377,0.392100404341226,0.15757729318935665
5,50000,200,10,0,0.05,0,0,0,0,0,0,10.31205901254969,-0.20397215767513804,0.48847521595705407,0.10502188892726573,-0.041813511610447836,-0.04179268606177739,-0.016304595477343566,-0.003376317718819051,-0.08528525666792763,0.02715145289624108
6,500,200,10,0,0.05,0,0,0,0,0,0,9.397492566588623,-0.6269891278549247,0.0016376670719786706,-2.946344527275109,0.3922986727514143,0.3911505066150582,0.06439131378725856,0.3521076513415152,0.2736316594090857,-0.33183562908393816
7,10000,200,10,0,0.05,0,0,0,0,0,0,11.457931715487945,0.6045496307039571,0.8402687079554412,0.0758342656708015,-0.2525126412559143,-0.4108128279862513,0.06160992934535624,0.21179100971642456,0.09700818086108005,-0.04036069074212059
8,50000,200,10,0,0.05,0,0,0,0,0,0,11.408688474257309,0.041985360387736384,0.6486842891790672,0.07371366730582245,-0.3062989859217379,0.02645137858570258,-0.03408137225247174,0.3207297706182567,0.01619699666808028,-0.04168996324835107
9,500,200,10,0,0.05,0,0,0,0,0,0,14.02741539301237,-0.643745988037957,0.009264361078357815,-0.461526356218567,0.8845484770022708,-0.05601530685872434,0.7402031200160696,-1.171567978530716,0.10698659078914384,-0.2761039455513591
10,10000,200,10,0,0.05,0,0,0,0,0,0,11.262764633997483,-0.18469853317948504,0.6073295656913346,0.08062517698432593,-0.26593103689195885,0.060058242844120265,-0.011241762394337393,0.19003004588606373,0.11432817380279009,0.09420006835125708
11,50000,200,10,0,0.05,0,0,0,0,0,0,11.207942355320652,0.13078764090745204,0.5081814749732164,0.10713476876136084,-0.22332764482430556,-0.10389137310755586,-0.08085681141854036,0.18611241673848739,0.08263081773694916,0.04423841543060328
12,500,200,10,0,0.05,0,0,0,0,0,0,11.818545928387566,0.4867077092281047,0.004428462368306941,-0.016661162222689735,-0.26127273671249607,0.07976758868335497,0.1608422782213703,-0.32028865662193473,0.016742989858279256,0.037431691410336455
13,10000,200,10,0,0.05,0,0,0,0,0,0,10.29709403254123,0.9167194027137762,0.3385410828839477,-0.12433890283722548,0.2540477189214265,0.0405413048467337,-0.07708199715358875,-0.16078429956235848,0.17816431706158403,-0.007876123466869316
14,50000,200,10,0,0.05,0,0,0,0,0,0,11.086323632640477,-0.586282408585039,0.5106194664111741,-0.10655096327410393,-0.07333209199102023,0.0005351584879561965,-0.024164057511838675,-0.014667489763050502,0.0008529007454239207,0.11984850666947533
15,500,200,10,0,0.05,0,0,0,0,0,0,10.242841119308215,-1.276597011873465,0.0029958736605236983,1.2244031504077595,0.11972344785984253,-0.23377171303622898,-0.4388864028275847,0.6365012939575283,0.5536609621501362,-0.12643663375079886
16,10000,200,10,0,0.05,0,0,0,0,0,0,11.277464279854847,-1.1625009527741774,0.5934946555347811,0.08774884584843406,-0.26993669303634027,0.052308507876634366,-0.04118785116265675,0.036507129793471864,-0.0585951796303061,0.17674986474651852
17,50000,200,10,0,0.05,0,0,0,0,0,0,11.346292662156221,-0.3332470061133937,0.615228123409701,0.09746856230516462,-0.10245332301142304,0.036961579449151724,-0.010259540731479048,0.08135532909869701,0.02211576747423631,0.04985745477317051
18,500,200,10,0,0.05,0,0,0,0,0,0,9.138360873369018,0.846929229468037,0.0039681104797072535,0.6257899348543062,-0.5397200642206362,-0.07358506111601829,-0.16326684719147247,1.3264288197199934,0.03663325886283849,-0.038260187641034164
19,10000,200,10,0,0.05,0,0,0,0,0,0,10.556754489064144,0.3116015256698065,0.6748354416648947,0.07979227948714267,-0.16298089225053172,0.18876937977745029,0.023751025224481647,0.2609068783949657,0.010701117574141696,-0.05256247506106128
