,ntrials,n_iters,sens_sim,bias_sim,sigma_sim,prevresp_sim,prevconf_sim,prevrespconf_sim,prevsignevi_sim,prevabsevi_sim,prevsignabsevi_sim,sens_fit,bias_fit,sigma_fit,C_fit,prevresp_fit,prevconf_fit,prevrespconf_fit,prevsignevi_fit,prevabsevi_fit,prevsignabsevi_fit
0,500,200,10,0,0.05,0,0,0,0,0,0,10.95331232722179,-1.6612335573366783,0.0021558074833015997,-0.42153208989726354,-1.4984389459817842,3.0951357869886125,4.679980012318597,-1.1961575535976432,-0.5211721079628452,0.20560607182028467
1,10000,200,10,0,0.05,0,0,0,0,0,0,11.17050552072759,-1.6326244374770977,0.7668211119700544,0.06318636238980037,0.04476112069986524,-0.6545752265115042,-0.3273674718084546,0.06949404119377592,0.12656371693727192,0.01783449086372504
2,50000,200,10,0,0.05,0,0,0,0,0,0,10.454680814421,0.06158890299113995,0.5531434785935577,-0.09772175617889906,-0.07287317443316091,-0.13078020182737024,-0.3260716864069436,0.07250721283987795,0.009403025343340548,0.08304997893723884
3,500,200,10,0,0.05,0,0,0,0,0,0,9.308893489173771,-1.0593438202259615,0.006610476691316211,-0.02110843026039224,-0.5148425472049029,0.1512579421264434,0.1829364271215171,-0.22420490469469223,0.5894031213812035,0.44033693839050164
4,10000,200,10,0,0.05,0,0,0,0,0,0,11.037647414605408,-2.1258558496188056,0.5392683629689817,0.09910530682992912,0.2819360014851462,-1.0315846104796587,-0.7986934412037968,-0.034472714972437334,0.49743346923912546,0.211110471649971
5,50000,200,10,0,0.05,0,0,0,0,0,0,10.261612989923432,-0.21317574983579313,0.49042257362710834,0.10372146688345371,-0.03215194439469567,-0.026347110917533348,-0.30367037158672006,0.1044236561760756,-0.08739461849354377,0.04351754550081087
6,500,200,10,0,0.05,0,0,0,0,0,0,9.24470583832055,-0.31246496343704205,0.0017435457807001382,-2.8651007356209712,0.15902738545681838,-0.010092478407373933,0.9068580251561481,0.2875780162577875,0.22253409086803375,-0.4462499348511884
7,10000,200,10,0,0.05,0,0,0,0,0,0,11.454000639481789,0.4833788950360856,0.843075800791479,0.07535024819285235,-0.21549312132547832,-0.22696077131687367,0.08970383235735999,0.1696504507222023,0.017509754721243144,-0.04315196806873245
8,50000,200,10,0,0.05,0,0,0,0,0,0,11.397564504017812,0.011624657977686106,0.6489160039849068,0.07317026161607955,-0.32575809714617276,-0.1701615754103599,0.01841141521238924,0.31972493344607755,-0.003837610420424925,-0.03428770243634228
9,500,200,10,0,0.05,0,0,0,0,0,0,12.820417501579703,-0.6195282555829014,0.01657341633721947,0.3582413647817035,0.6792629612137935,1.8211066294812612,-2.9545469979048455,0.3896168190073733,-0.2294602803978905,0.09508774257251756
10,10000,200,10,0,0.05,0,0,0,0,0,0,11.232901931216134,-0.11328557935503511,0.5989422337202667,0.08031438005350403,-0.2523087609728175,-0.0012621664774380397,0.0016010947495684455,0.17366718174777457,0.15403276446377756,0.0939483854982915
11,50000,200,10,0,0.05,0,0,0,0,0,0,11.139816564450204,0.16683336350064779,0.5108160755450721,0.10476482825620546,-0.18231020787546975,-0.22642353248031022,-0.27883174544846756,0.23666668699772048,0.09196532145772243,0.040646141460307275
12,500,200,10,0,0.05,0,0,0,0,0,0,12.00951513388412,-0.4653845686108542,0.004563420514716677,-0.0075389542396432,0.07253572449554946,2.687300517714369,-1.3026096740633162,-0.06782602006682105,-0.20743914197326296,0.11527699718752203
13,10000,200,10,0,0.05,0,0,0,0,0,0,11.270083472092141,1.1745374092537622,0.3448744833627702,-0.13686999177200748,0.14118117615457543,0.2558796649845502,-0.32168247237902753,0.02205006682162969,0.10954930758164118,0.023033995535524154
14,50000,200,10,0,0.05,0,0,0,0,0,0,11.080705959147068,-0.4551256386349267,0.5124169172239438,-0.10557329912955349,-0.03144216959685753,-0.42509867735518353,-0.16056380131476378,-0.005429047018807667,0.06210275036128626,0.13004079584420977
15,500,200,10,0,0.05,0,0,0,0,0,0,10.436352684923063,-0.7966100118732407,0.002582336559156345,0.8532065763293025,-0.12712991131435933,-0.28084957376644437,2.5144934215380594,-0.17311894522821886,0.607968446271139,-0.45876858418866573
16,10000,200,10,0,0.05,0,0,0,0,0,0,11.320404318724464,-0.9348628309564222,0.5898358228332475,0.0886905675656758,-0.11769779429042555,-0.7184469968794506,-0.23526946774694407,-0.03867413995276081,0.033256938982257206,0.18493846966536287
17,50000,200,10,0,0.05,0,0,0,0,0,0,11.315886772640575,-0.24074015349180966,0.6159098825176923,0.0966345527919853,-0.0777210970983621,-0.27518680726369893,-0.13330885398900902,0.11076219166692615,0.06154102851610926,0.061304501224410335
18,500,200,10,0,0.05,0,0,0,0,0,0,9.272505613843785,-0.16340937460044994,0.003532761241590295,0.6286585725471211,-1.293049104303573,2.4873933642945802,-2.3799885026739926,2.8328070744935228,-0.22477507408339287,0.2030371773587996
19,10000,200,10,0,0.05,0,0,0,0,0,0,10.632405535831264,0.295213441737079,0.6705758038036536,0.08145985324343996,-0.1553731485281505,0.20609323123885195,0.03846972589799766,0.2250257211057517,0.035752636465007516,-0.029547224886218526
20,50000,200,10,0,0.05,0,0,0,0,0,0,10.939971779283784,-0.02784918212816214,0.6162826993091901,0.1050691448076415,-0.2487695442805079,0.03056969241892146,-0.35769252936986734,0.3779549586277695,-0.07382634229890249,0.05583372669096557
21,500,200,10,0,0.05,0,0,0,0,0,0,9.869429817424653,-0.5632799706876253,0.004882850295036,-1.3340370634396985,-0.36067128255176595,-0.6472357302492469,-1.1937967044941438,1.6633721339992475,0.04789611038122358,-0.5417651107599777
22,10000,200,10,0,0.05,0,0,0,0,0,0,11.052669486256868,-0.2638517864853358,0.5415505142122693,-0.06428703401901377,-0.05135778180399994,-0.20851560888489978,-0.03142842733287371,0.09774480956348956,0.04415830902552993,-0.019376316658865377
23,50000,200,10,0,0.05,0,0,0,0,0,0,11.163985117251839,-0.35938498963435667,0.6051587090744642,-0.10549631626881506,-0.04646789562746982,0.15416112345787467,-0.22312980003624988,0.07810114036919771,-0.0967859966355487,0.05826620817182742
24,500,200,10,0,0.05,0,0,0,0,0,0,10.416758448859946,-0.6707173927346877,0.006246228803167202,1.52400976140133,-0.12449932839024752,2.044204601390215,1.2040878132037764,-0.878844384846603,-0.80769488348386,0.10271682647668118
25,10000,200,10,0,0.05,0,0,0,0,0,0,9.60869404325933,-0.4261560076912564,0.3603509851471558,0.10708248331180382,0.05832007051945118,0.0708879603135315,-0.5803506378080606,0.21128343948863945,0.0077686008804089155,6.59471138541705e-05
26,50000,200,10,0,0.05,0,0,0,0,0,0,10.603081351788534,0.3261295301883117,0.4854804333076912,-0.10098294728436837,-0.16252065322056955,-0.014508118047793627,-0.4933967655532757,0.2895613455021856,-0.052590957168794916,0.06828578969471544
27,500,200,10,0,0.05,0,0,0,0,0,0,13.051025765485173,2.2894236907862777,0.01848864342311802,-0.6632280790748131,-0.0013364097811814249,-0.002282199690443603,3.4011459422507517,-0.569386122918332,-0.6590755098617368,-0.2814650266334762
28,10000,200,10,0,0.05,0,0,0,0,0,0,11.372889230254133,0.2137874700663354,0.5997546880529498,-0.08237375468187577,-0.07510968043326816,-0.21800574124913497,0.34979897998232024,-0.10972073129747817,-0.12027568296470086,0.008110295051128716
29,50000,200,10,0,0.05,0,0,0,0,0,0,10.581226442844036,0.8824266706324226,0.528367846821516,-0.09534560753549429,-0.04066061209038252,0.025886640951463126,-0.1781783573343906,0.027296680749710103,0.0407564061074722,0.05777418937662426
30,500,200,10,0,0.05,0,0,0,0,0,0,10.185843803748257,-0.7223206109923703,0.007102324001559774,-1.2654382907728905,0.36439587535593065,-0.10730161760568689,-1.3257983598178846,0.19221553937091665,-0.012278397509557823,0.30791974618728
31,10000,200,10,0,0.05,0,0,0,0,0,0,11.384100292692077,-0.9669531939063485,0.7531740430340977,-0.061958119184720224,-0.42193194945288104,-0.648449383492023,-0.19226490137527602,0.37324714465038494,0.3037504391391833,0.11638840558580836
32,50000,200,10,0,0.05,0,0,0,0,0,0,10.481153897712995,-0.5019895594733701,0.656522180758274,0.09196951277227361,-0.03532439885018232,-0.3081543207437242,-0.2244399725588621,0.05848708136507018,0.09704766767386945,0.04046477722768919
33,500,200,10,0,0.05,0,0,0,0,0,0,9.12278515911731,-0.2991678090459606,0.06716353352803625,-0.1339956957005048,0.670008546854656,0.8684333104494557,1.0102764114651959,-2.4489007599612806,-0.11815149496857384,0.7168130813875959
34,10000,200,10,0,0.05,0,0,0,0,0,0,10.376263352953245,1.4452971473562264,0.5076179619824389,-0.08044899844428922,0.23413914220864387,0.31435354813213917,-0.584585202123757,0.11779902008059563,-0.0186308267541929,-0.04321602087965694
35,50000,200,10,0,0.05,0,0,0,0,0,0,10.614868437292824,0.27024416062088263,0.6004130775380276,0.09502292488983141,-0.1248641125772279,0.10410535934902099,-0.17619377866978056,0.17110362107637533,-0.09373195181819573,0.03617186265559187
