,ntrials,n_iters,sens_sim,bias_sim,sigma_sim,prevresp_sim,prevconf_sim,prevrespconf_sim,prevsignevi_sim,prevabsevi_sim,prevsignabsevi_sim,sens_fit,bias_fit,sigma_fit,C_fit,prevresp_fit,prevconf_fit,prevrespconf_fit,prevsignevi_fit,prevabsevi_fit,prevsignabsevi_fit
0,500,200,10,0,0.05,0,0,0,0,0,0,10.920226195907642,-1.402173988464591,0.0020946257509434777,0.23756080338533322,-1.3134752412507453,2.614002057168779,5.221660645813307,-1.4714106995899332,-0.35302767234343974,0.07852067064422001
1,10000,200,10,0,0.05,0,0,0,0,0,0,11.544340406094705,-1.7320928086039118,0.7419152101710446,0.0702229596152468,-0.4537539425646908,-0.4474215921248671,1.3401062798504155,-0.17733825293017963,0.050258267030844246,-0.045060794411240494
2,50000,200,10,0,0.05,0,0,0,0,0,0,10.432006353180808,0.09285200326061942,0.5550758027387097,-0.09697938278486011,-0.6219884477159948,-0.1401301243995462,2.9463948654402743,-0.6647324752595528,-0.0027912657515295654,-0.1511006248180669
3,500,200,10,0,0.05,0,0,0,0,0,0,9.336991297963403,-0.9521123217823593,0.006827064169517876,-0.015097476657215886,-0.4167122771503992,-0.11255567785160737,-0.8979221291457213,0.07926625877804461,0.6103367210181116,0.5322540673814197
4,10000,200,10,0,0.05,0,0,0,0,0,0,11.30752406975189,-2.101823185263456,0.5208407441624239,0.10566883759410382,-0.43818908943873813,-0.9682649807808137,1.7424128479715704,-0.3767151011050064,0.3959438504249983,0.06829105778743129
5,50000,200,10,0,0.05,0,0,0,0,0,0,10.265003828723362,-0.12010857824707866,0.48245923492315296,0.10382852468455374,-0.6568986772984138,-0.22244378341207283,3.097615656363431,-0.6078733873908653,-0.1070234925820038,-0.2125189674878631
6,500,200,10,0,0.05,0,0,0,0,0,0,9.658541134380393,-0.6279969287234871,0.0017153195840028533,-3.168087039031626,0.28232957852933477,0.6450562964078149,0.2778403717517274,0.41365079424879336,0.21480305334628214,-0.37704760053603087
7,10000,200,10,0,0.05,0,0,0,0,0,0,11.539977151029627,0.49168836184179865,0.8209700556599351,0.07682630685286404,-0.3794672194750783,-0.29663977947456593,1.2084981186509418,-0.1080715552863373,0.04262693444148646,-0.12508433640805267
8,50000,200,10,0,0.05,0,0,0,0,0,0,11.32674076269136,0.03787345649305773,0.6215161922464792,0.07850288609714645,-0.3613921181286257,-0.19313318184034053,0.9082010733292661,0.027269041591808686,-0.006244126772381796,-0.12120621040050528
9,500,200,10,0,0.05,0,0,0,0,0,0,12.717392229385734,-0.7967914699966137,0.016249647208605514,0.6598151877381405,0.5247935810030309,1.8624841334411875,-2.453824512821609,0.2662042577063303,-0.3454514186817833,0.06941503166123139
10,10000,200,10,0,0.05,0,0,0,0,0,0,11.286044039605864,-0.202795374130581,0.5906573197292565,0.0767563580348778,-0.3512599451362647,0.1206349174693695,0.5931217312970151,0.03442946365279478,0.10569883597678656,0.05209525335061541
11,50000,200,10,0,0.05,0,0,0,0,0,0,11.28904702676841,0.11792972343605274,0.5052758634035258,0.10767286886782182,-0.4300836727271515,-0.23899284159349454,1.2692407530473213,-0.1359013538536203,0.07983651663628161,-0.061663412891413985
12,500,200,10,0,0.05,0,0,0,0,0,0,12.075876069786469,-0.5069919759072185,0.004544245709287319,-0.00855774443404043,-0.11287104515423532,2.901952681522479,-1.4086857541766256,0.09575932726971907,-0.23792046776455084,0.15713338757025283
13,10000,200,10,0,0.05,0,0,0,0,0,0,11.077555613160795,0.6964532501195189,0.3329261945368258,-0.14492973042513266,-0.022344077647895148,0.411229098446838,1.0088847502046658,-0.3621534724826966,0.19148506791576714,-0.11245652286416942
14,50000,200,10,0,0.05,0,0,0,0,0,0,11.18892092655725,-0.3995429624887811,0.5047459622145065,-0.10576261952821134,-0.37850177422872816,-0.4134124329804981,2.3884658884840775,-0.6576634964044697,-0.002242125294658256,-0.05800330268643939
15,500,200,10,0,0.05,0,0,0,0,0,0,10.302416445927294,-0.36636134596091113,0.002277034019179461,1.48002876592824,-0.545648979561599,-1.3905184393109549,5.244922275377108,-0.8935851278227064,0.5145869161921669,-0.6026618718144496
16,10000,200,10,0,0.05,0,0,0,0,0,0,11.40798946576634,-1.0147213235601935,0.5768686368307029,0.08967165742519667,-0.40900849808734246,-0.46450689460994876,0.9875000520137511,-0.27565438228056016,-0.012592404759403698,0.1287078610402975
17,50000,200,10,0,0.05,0,0,0,0,0,0,11.59578525919115,-0.20445514740559823,0.6031835073157151,0.09657917515600652,-0.3001898314344067,-0.28263217424410614,1.2381803106185456,-0.21444230925987326,0.036530034430952645,-0.03414915341072926
18,500,200,10,0,0.05,0,0,0,0,0,0,9.405151882536904,-0.42536726688825055,0.003551138700304142,-1.6327671501896264,-1.3462957184418476,2.022250655664143,-1.0545129757104372,2.3997749325574254,-0.1594663021384252,0.2009538772380735
19,10000,200,10,0,0.05,0,0,0,0,0,0,10.857413237349956,0.20119886770752934,0.6493819530387596,0.08267583754266827,-0.25983928813495205,0.3088753287292197,1.4415776098308049,-0.19471323928328196,0.05870611425159926,-0.15116266011041068
20,50000,200,10,0,0.05,0,0,0,0,0,0,11.029391122550482,0.0011410699412489767,0.6040300968608704,0.10229402782971535,-0.4520528862499604,-0.0058571959484688095,1.1890679698399171,-0.011105390474643895,-0.07016858559700205,-0.0674860709872516
21,500,200,10,0,0.05,0,0,0,0,0,0,10.053607871797997,-1.1478118289239196,0.00502156154267999,-1.6205542307322203,-0.465705260086799,-1.578257556785325,0.050255939247450275,1.2456483596213774,0.24180851993814056,-0.5811076056879677
22,10000,200,10,0,0.05,0,0,0,0,0,0,11.024254297880637,-0.16383437778772436,0.5410177111981108,-0.0624338433758545,-0.4159317588169711,-0.3604228512512477,2.0870566647298827,-0.3893764660848419,0.06026429967219988,-0.15369612871989052
23,50000,200,10,0,0.05,0,0,0,0,0,0,11.232156186661461,-0.2923789283183155,0.6129810276998626,-0.10265981347011166,-0.46257682781012716,0.08115637031020193,2.2795018258060655,-0.4758738398264257,-0.10619231469241514,-0.13289228263278222
24,500,200,10,0,0.05,0,0,0,0,0,0,10.311179092593324,-0.6823930242170068,0.006537168326664404,1.4780426569987717,-0.11676946982472751,2.1658750807415865,-0.2791442141525724,-0.45064938256518206,-0.7647144756883968,0.32048658849834727
25,10000,200,10,0,0.05,0,0,0,0,0,0,9.715336617104022,-0.467885802154115,0.3715228308964755,0.10795571424740619,-0.5237757534419034,0.334657166688777,3.0030966200428537,-0.6021167147146927,-0.07540331742775722,-0.26688205607600896
26,50000,200,10,0,0.05,0,0,0,0,0,0,10.771910415138393,0.287839139503245,0.47433693034466357,-0.1049333152859453,-0.37601229929306684,0.11263842161864965,1.5373071516380004,-0.2785048634037086,-0.09139269808342888,-0.09428181717156495
27,500,200,10,0,0.05,0,0,0,0,0,0,13.011120916872143,2.2266822463910856,0.01785797842320163,-0.5954186560954969,0.08768715635888136,-0.6363670542362403,3.0132639754715886,-0.48302559347352364,-0.5445457005220378,-0.23850203735547065
28,10000,200,10,0,0.05,0,0,0,0,0,0,11.494371339710842,0.18437609779344857,0.5800603936391141,-0.08534254164032239,-0.2594509261333968,-0.1725136322265031,1.5634880671846842,-0.374081514545595,-0.13360561887653385,-0.09919870129333644
29,50000,200,10,0,0.05,0,0,0,0,0,0,10.843334771784233,0.8822508152290993,0.5153025976548836,-0.10744391348584867,-0.510925091871565,0.13444219164235632,1.5306733687296956,-0.22683250745755526,0.03517424203186138,-0.01192574593181228
30,500,200,10,0,0.05,0,0,0,0,0,0,10.145621980553127,-0.744932482838995,0.006601936598665235,-1.3454873949951334,0.43542147166921985,-0.31887719301324985,-0.8759460355724473,-0.06448865975462967,0.09733437458276037,0.27439390511665096
