,ntrials,n_iters,mse,sens_sim,bias_sim,sigma_sim,pc_sim,pe_sim,sens_fit,bias_fit,sigma_fit,pc_fit,pe_fit,C_fit
0,500,100,1.0171157637751556,10,-5,0.1,1,-1,10.081294756312534,-6.071463833273493,0.09106540311623519,1.1961983042022866,-0.5901632180741107,-0.30097399330716634
1,500,200,1.2084031175382492,10,-5,0.1,1,-1,10.13607779649716,-5.987943758015971,0.00836331495613511,1.181289696798041,-0.5782008608166617,-0.9086640886778481
2,500,500,0.6979936360239499,10,-5,0.1,1,-1,9.306807803068708,-5.663046251594803,6.511065527291986e-05,1.0724499745873963,-0.48417987764995635,-6.227002383090346
3,500,100,0.26295800695495575,10,-5,0.1,1,-1,8.491556028126194,-4.306438811595688,0.0629659853741119,0.9512521972571378,-0.8599757701987434,-0.28846296850910064
4,500,200,0.3837616760526331,10,-5,0.1,1,-1,8.279286748711892,-3.5780347515533535,0.00512091183376044,0.9233796730988628,-0.8793158174457062,-0.6756802656306525
5,500,500,0.632792677189949,10,-5,0.1,1,-1,8.211441871777122,-4.508252173055263,3.010591564945614e-05,0.9276524720240259,-0.8204566582436008,-11.255320165632357
6,500,100,0.28793188541436626,10,-5,0.1,1,-1,9.528574535035819,-4.961979916578508,0.039401027851503054,1.156883438112488,-1.3922306178494244,0.6464033745117823
7,500,200,0.6109920532808335,10,-5,0.1,1,-1,9.51351766880857,-5.3985792235296355,0.00427692347120625,1.1893119775665406,-1.379664875243686,1.8250391461176725
8,500,500,1.6030809753618591,10,-5,0.1,1,-1,9.044901806490868,-5.923551141412603,0.00024899361854665376,1.0856173297584921,-1.341587379791329,5.973712399888146
9,500,100,6.095645726938477,10,-5,0.1,1,-1,11.548709738771164,-8.277022988112321,0.10384148620579983,1.3991026556103527,-1.3741127362492505,-0.5287080667384589
10,500,200,13.093802955767877,10,-5,0.1,1,-1,12.233740412314255,-9.780287288271214,0.04236670563031664,1.4951392344905303,-1.4157341457582513,-0.6860600982528711
11,500,500,16.47353788215795,10,-5,0.1,1,-1,12.168212593160849,-10.287404559417363,0.00026685889978120064,1.458742021039257,-1.4186478794849393,-8.336419016482498
12,500,100,0.16349655848110414,10,-5,0.1,1,-1,9.254530507145661,-5.024060672073051,0.05992334005999028,0.8512315395935093,-0.6851099808813312,0.03485609249569111
13,500,200,0.14490650179383668,10,-5,0.1,1,-1,9.130334179726617,-4.848258592103562,0.007860431405073533,0.8397570463465741,-0.6766579445080793,-0.2066661151423757
14,500,500,0.14642859268803424,10,-5,0.1,1,-1,9.1880351648627,-4.9216884715455755,5.1139987809876085e-05,0.8408030540246778,-0.6763675053350262,1.0115386560766153
15,500,100,0.17095569645137065,10,-5,0.1,1,-1,9.831909490867476,-4.898035181117608,0.1490019295708263,1.0392809617746774,-0.7461953327261993,-0.3228697955026026
16,500,200,0.13903164754065894,10,-5,0.1,1,-1,9.674892094280311,-5.04912298046518,0.01168684095486358,1.0331346155850427,-0.715756757060852,-0.780639436676581
17,500,500,0.1667909780222108,10,-5,0.1,1,-1,9.558859437899628,-5.0196020936172765,2.7394607624555837e-05,1.0226978548497134,-0.5850507243488668,-15.800182179489122
18,500,100,1.2436159153036006,10,-5,0.1,1,-1,10.14272759080752,-3.941301037657408,0.04739617692296114,1.0377119107084438,-0.9479916095535427,-0.42483832533692023
19,500,200,3.261762107426363,10,-5,0.1,1,-1,10.171510951633396,-3.204515002757713,0.007928494837624409,1.0596917905397953,-0.9206684970906414,-1.2341687283810299
20,500,500,0.6207450246462365,10,-5,0.1,1,-1,10.227489780690455,-4.470606372843397,0.00012940356771745144,1.0552838141433314,-0.976641510086887,-9.407992445615964
21,500,100,0.14664031025876081,10,-5,0.1,1,-1,10.067914335008794,-5.024451088280083,0.23971209718586167,1.1131192636484846,-1.104888648481699,0.05603492268830267
22,500,200,0.1318538795846554,10,-5,0.1,1,-1,9.837601998663482,-4.925883297662416,0.04288724639556354,1.072192949940672,-1.0704110707693402,0.1411016335438831
23,500,500,0.15476759832852596,10,-5,0.1,1,-1,9.983469708371924,-5.067842625068968,0.00011114877956193706,1.1058120322073441,-1.053628660443814,1.3963829720911385
24,500,100,3.1116748812197543,10,-5,0.1,1,-1,9.65113234391524,-6.397667537290896,0.039227455983423754,1.236863894980579,-1.3318561368815502,-0.4473375304964103
25,500,200,3.2832699002640005,10,-5,0.1,1,-1,9.67491455922606,-6.3813771427395505,0.0044012130658472055,1.2021905065896539,-1.3660163307542288,-1.4562700241800797
26,500,500,10.78341967217603,10,-5,0.1,1,-1,10.02676183375429,-8.370163752727073,1.787789975267862e-05,1.2500612392171069,-1.4332303737224592,-13.074804848426702
27,500,100,0.21854706386935854,10,-5,0.1,1,-1,11.05845118475381,-5.9413300876952775,0.07248783492167948,1.1617555260532395,-1.3422955390082643,-0.06942201073440417
