,ntrials,n_iters,mse,sens_sim,bias_sim,sigma_sim,pc_sim,pe_sim,sens_fit,bias_fit,sigma_fit,pc_fit,pe_fit
0,500,200,0.9222610058789864,10,-5,0.05,1,-1,10.457114246826345,-6.4605445763933815,0.012638761442675608,1.0968787483766747,-0.5652616142862869
1,5000,200,0.21950320536861806,10,-5,0.05,1,-1,10.309403520467274,-5.51497320929419,0.3349115467003176,1.0254585257356235,-0.962399693662813
2,500,500,0.9104451764721571,10,-5,0.05,1,-1,10.673675898481212,-6.188874481058447,0.00011151669888302476,1.1573724613714056,-0.5372421739427848
3,5000,500,0.6565429902902047,10,-5,0.05,1,-1,10.120941839858382,-5.795605264505583,0.12645640837192693,1.0033994020080257,-0.9126528604573709
4,500,1000,1.9313876344506347,10,-5,0.05,1,-1,10.48450169394812,-6.654062243006733,8.19042568631056e-06,1.1318263859199258,-0.5076777576773023
5,5000,1000,1.9454691453897122,10,-5,0.05,1,-1,9.938389700524361,-6.29138129227039,0.0757476966096706,0.9894377040630783,-0.9053719728514046
6,500,200,0.09337272342673694,10,-5,0.05,1,-1,8.278879855829674,-4.281383655699901,0.00782044507135421,1.0185870131771284,-0.8108145607953241
7,5000,200,0.0801575281863589,10,-5,0.05,1,-1,10.583580828509938,-5.185575848530337,0.3728314683087023,0.9481535875242175,-1.0508799117320815
8,500,500,0.20818321603275664,10,-5,0.05,1,-1,8.248356866257671,-3.7530451481896643,3.7201685862100964e-05,1.0120203540393304,-0.7996438049881222
9,5000,500,0.09667906795524604,10,-5,0.05,1,-1,10.521217413859032,-5.097961574689437,0.28730621047916854,0.9322087957772349,-1.0372315403845185
10,500,1000,0.19239873594763643,10,-5,0.05,1,-1,8.347029267014582,-4.313816807916935,1.3123057843073142e-05,1.012254158942334,-0.7914807998437499
11,5000,1000,0.5846062096511082,10,-5,0.05,1,-1,10.563935160754035,-4.536253488130816,0.0632694355911783,0.9457363663412115,-1.015438711752421
12,500,200,0.18004363386107206,10,-5,0.05,1,-1,9.422498416474372,-5.016642364618787,0.00340287731289276,1.2973110823322882,-1.2764531606495386
13,5000,200,0.19558432425634592,10,-5,0.05,1,-1,11.183923217218327,-5.49435006233314,0.22577678336199286,1.1810804822813061,-1.093600127015903
14,500,500,0.7704539951649091,10,-5,0.05,1,-1,9.255113850130966,-5.7007779799654,0.00015576531275561235,1.2511796141597706,-1.305669185102429
15,5000,500,0.17063430652424266,10,-5,0.05,1,-1,10.982001898023777,-5.462970304949015,0.11066515768035279,1.1584710149917834,-1.129947405092832
16,500,1000,0.21627231599653698,10,-5,0.05,1,-1,9.169557034117021,-5.034837643433995,1.0508887046544564e-05,1.2776073626817799,-1.20080876040399
