,ntrials,n_iters,mse,sens_sim,bias_sim,sigma_sim,pc_sim,pe_sim,sens_fit,bias_fit,sigma_fit,pc_fit,pe_fit
0,500,200,0.05362291291765155,10,-5,0.05,1,-1,10.775517499207165,-5.690074012897777,0.015065842230825513,1.1874524014149401,-0.6768939418946012
1,5000,200,0.05604810599893049,10,-5,0.05,1,-1,10.387217399953888,-5.112836411356753,0.3659756416666555,1.0616252575992857,-1.01074940468465
2,500,500,0.06747794837359303,10,-5,0.05,1,-1,10.658897973722736,-5.8382756638120945,0.0001737209086016617,1.1248597490897487,-0.6787501422340667
3,5000,500,0.10164571152222275,10,-5,0.05,1,-1,10.303667532713355,-4.9384309821541885,0.11116856017250185,1.0559273730791103,-0.978369919713968
4,500,1000,0.27729579871668153,10,-5,0.05,1,-1,10.618778646501765,-5.188442104715405,7.881057695767629e-06,1.130959792776392,-0.6629127753025694
5,5000,1000,0.06695375833283858,10,-5,0.05,1,-1,10.076723105635486,-4.93814612019638,0.04785562923409367,1.0354782015266983,-0.9638874888825121
6,500,200,0.1023113856074054,10,-5,0.05,1,-1,8.152402389579477,-4.331940748900661,0.007515815434565413,1.0377572304974372,-0.7122019274781384
7,5000,200,0.09052801379501263,10,-5,0.05,1,-1,11.005955393614297,-5.56973311754832,0.40396155514694965,0.9987185429620724,-1.018143211319734
8,500,500,0.18466491806093865,10,-5,0.05,1,-1,8.19547235923027,-4.134828936600859,3.558226476567603e-05,1.0496762215721942,-0.6987855868811654
9,5000,500,0.13663171855799688,10,-5,0.05,1,-1,10.661460361058523,-5.444629797836801,0.2918361045121865,0.9826366526686209,-0.9389987244022273
10,500,1000,0.20055982730496583,10,-5,0.05,1,-1,8.428668198376252,-3.707043688141392,1.1609504369741715e-05,1.095199921446861,-0.7399334405042033
11,5000,1000,0.07072019976324952,10,-5,0.05,1,-1,10.059341823391707,-4.999345110844754,0.04286190027748742,0.9229053710943769,-0.8863513662491755
12,500,200,0.12014994258387587,10,-5,0.05,1,-1,9.309044153749994,-4.890359560968452,0.002022775692731266,1.2486134697485425,-1.1892180820897669
13,5000,200,0.12265544988963865,10,-5,0.05,1,-1,10.450745197319335,-5.140996182880683,0.37452962759254693,1.1347774294374824,-1.1355411806595221
14,500,500,0.08447043566221175,10,-5,0.05,1,-1,9.369825960073626,-4.570412198431452,8.847027518422598e-05,1.2572034385189277,-1.209411782610872
15,5000,500,0.12194601263551481,10,-5,0.05,1,-1,10.272895686773193,-5.012683168211209,0.195590391900214,1.1134131198932453,-1.0429004202695589
16,500,1000,0.09900448695224098,10,-5,0.05,1,-1,9.217176856726033,-4.75785528418042,9.191015286941921e-06,1.2257416564992338,-1.18926514404308
17,5000,1000,0.10963904931309762,10,-5,0.05,1,-1,9.927433228321977,-4.840066498338032,0.0418892862678239,1.0805913309565507,-0.9926406084944482
18,500,200,1.3258550988326305,10,-5,0.05,1,-1,9.863999356249321,-6.085755021762258,0.0331477621145441,1.1511206793124231,-1.4082838085312521
19,5000,200,0.14292047754770354,10,-5,0.05,1,-1,10.051314815113267,-4.792708707913532,0.41056285114505003,1.0924200098697816,-0.8181192710692428
20,500,500,0.471894945236032,10,-5,0.05,1,-1,9.748995791089008,-5.58506008219933,6.277743955385974e-05,1.1340149248474758,-1.3586123272675572
21,5000,500,0.08974967502169585,10,-5,0.05,1,-1,9.982122414192991,-4.857889256016188,0.2268319361039587,1.083178256539055,-0.8007869020897594
22,500,1000,1.3666739363133176,10,-5,0.05,1,-1,9.947782162310675,-6.021401352551509,1.3474804497223913e-05,1.1528561120089194,-1.3541821167364616
23,5000,1000,0.09045408260239532,10,-5,0.05,1,-1,9.914966703783977,-4.921929835618837,0.08457337086867084,1.0807882710752361,-0.7976071938162044
24,500,200,0.03413179396392203,10,-5,0.05,1,-1,9.71161627947716,-5.097407799641791,0.00976357071242207,0.7839506053230326,-0.5186098556994998
25,5000,200,0.09776736394436407,10,-5,0.05,1,-1,9.76590705352542,-5.061116917728564,0.33226828703621797,0.9590256960300848,-0.9010949492295048
26,500,500,0.7223340436913955,10,-5,0.05,1,-1,9.552115093558585,-4.288876631106743,6.653519660440474e-05,0.7713278660930892,-0.5148472806553969
27,5000,500,0.11033519959594307,10,-5,0.05,1,-1,9.714567610165183,-5.0356133833043515,0.2046728438324533,0.9563606220195647,-0.8725298028143964
28,500,1000,0.02983575082219782,10,-5,0.05,1,-1,9.694432463266025,-5.193485402498155,1.0675495805958496e-05,0.7849928191990097,-0.5164323326100243
29,5000,1000,0.16674333486980014,10,-5,0.05,1,-1,9.54786658494491,-5.113197894819911,0.05866955954480093,0.9393196278007814,-0.8486266622113978
30,500,200,0.06868856812035604,10,-5,0.05,1,-1,9.907881162126266,-5.109362489753035,0.010598724201294579,0.9514281644981925,-0.5522073882113371
31,5000,200,0.08310130861482953,10,-5,0.05,1,-1,11.323338954678947,-5.775182906960661,0.4047341497765205,1.1531635132099023,-1.1083722700224425
32,500,500,0.06656567097767936,10,-5,0.05,1,-1,10.000772592589284,-5.136646140595093,1.5685702520052544e-05,0.9668826026376663,-0.5698652241065484
33,5000,500,0.0641783525168996,10,-5,0.05,1,-1,11.019788558974183,-5.628664315454495,0.16524616429520367,1.1241068165570982,-1.0676578290647032
34,500,1000,0.06659908112376227,10,-5,0.05,1,-1,9.906227611222077,-5.0797406923085475,1.279233549168514e-05,0.9552849659949691,-0.5503874923630147
35,5000,1000,0.09307308674533579,10,-5,0.05,1,-1,10.774057569162352,-5.254902965134492,0.036386476977863125,1.099454183013729,-1.0404021787506728
36,500,200,0.35544291683021806,10,-5,0.05,1,-1,9.794470157479857,-4.355959716669837,0.007791962166070556,0.9558997847988567,-1.4286363572474174
37,5000,200,0.1553570668522033,10,-5,0.05,1,-1,10.135972082039432,-4.858756546826744,0.5736593743610987,1.0313790539140328,-0.8618909374993361
38,500,500,0.029347812380037742,10,-5,0.05,1,-1,9.663607597111103,-4.861947750475723,0.00012318066575135102,0.9467509836668905,-1.3841257205350108
39,5000,500,0.08832782355997484,10,-5,0.05,1,-1,10.017783216827818,-4.998035767588551,0.16492049117061275,1.015969452325847,-0.8559165883119368
40,500,1000,0.023224564163113488,10,-5,0.05,1,-1,9.677120269635786,-4.886677540881597,1.7224099448791192e-05,0.9368415046893941,-1.362523363592895
